time,year,month,day,mb,dmdt,time,jt
2003-10-15,2003.0,10.0,15.0,-35.997921599146764,9.1461505097548,2003-10-15,2003.7868852459017
2003-11-15,2003.0,11.0,15.0,-39.088095791562665,-3.090174192415901,2003-11-15,2003.8715846994535
2003-12-15,2003.0,12.0,15.0,-30.470462541807166,8.6176332497555,2003-12-15,2003.9535519125684
2004-01-15,2004.0,1.0,15.0,-10.430735313822936,20.03972722798423,2004-01-15,2004.0409836065573
2004-02-15,2004.0,2.0,15.0,-28.004657157005177,-17.57392184318224,2004-02-15,2004.1256830601094
2004-03-15,2004.0,3.0,15.0,-31.441218628842076,-3.4365614718368995,2004-03-15,2004.204918032787
2004-04-15,2004.0,4.0,15.0,-25.789142126681778,5.652076502160298,2004-04-15,2004.2896174863388
2004-05-15,2004.0,5.0,15.0,-14.969076670283457,10.820065456398321,2004-05-15,2004.3715846994535
2004-06-15,2004.0,6.0,15.0,-12.386850338182658,2.5822263321007997,2004-06-15,2004.4562841530055
2004-07-15,2004.0,7.0,15.0,-23.249391671375278,-10.862541333192619,2004-07-15,2004.5382513661202
2004-08-15,2004.0,8.0,15.0,-39.39752230474828,-16.148130633373,2004-08-15,2004.622950819672
2004-09-15,2004.0,9.0,15.0,-27.351681843115376,12.045840461632903,2004-09-15,2004.707650273224
2004-10-15,2004.0,10.0,15.0,-29.516689089152777,-2.1650072460374012,2004-10-15,2004.7896174863388
2004-11-15,2004.0,11.0,15.0,-6.952799255527388,22.56388983362539,2004-11-15,2004.8743169398906
2004-12-15,2004.0,12.0,15.0,-1.770549994652309,5.182249260875079,2004-12-15,2004.9562841530055
2005-01-15,2005.0,1.0,15.0,-9.84815036960271,-8.077600374950402,2005-01-15,2005.0409836065573
2005-02-15,2005.0,2.0,15.0,-14.339657951233011,-4.491507581630302,2005-02-15,2005.1256830601094
2005-03-15,2005.0,3.0,15.0,-12.19895743766521,2.1407005135678006,2005-03-15,2005.2021857923498
2005-04-15,2005.0,4.0,15.0,-15.61019762058411,-3.411240182918899,2005-04-15,2005.2868852459017
2005-05-15,2005.0,5.0,15.0,-8.37355806389181,7.2366395566923,2005-05-15,2005.3688524590164
2005-06-15,2005.0,6.0,15.0,-17.16240727801151,-8.7888492141197,2005-06-15,2005.4535519125684
2005-07-15,2005.0,7.0,15.0,-46.55317639440517,-29.39076911639366,2005-07-15,2005.535519125683
2005-08-15,2005.0,8.0,15.0,-83.94265500635501,-37.38947861194984,2005-08-15,2005.620218579235
2005-09-15,2005.0,9.0,15.0,-77.83977661766721,6.102878388687799,2005-09-15,2005.704918032787
2005-10-15,2005.0,10.0,15.0,-72.55089484924711,5.288881768420097,2005-10-15,2005.7868852459017
2005-11-15,2005.0,11.0,15.0,-70.95685389743622,1.5940409518109,2005-11-15,2005.8715846994535
2005-12-15,2005.0,12.0,15.0,-54.525585366718715,16.431268530717503,2005-12-15,2005.9535519125684
2006-01-15,2006.0,1.0,15.0,-47.041041836936614,7.484543529782101,2006-01-15,2006.0409836065573
2006-02-15,2006.0,2.0,15.0,-39.863344536246615,7.177697300690003,2006-02-15,2006.1256830601094
2006-03-15,2006.0,3.0,15.0,-36.99561127331552,2.8677332629310985,2006-03-15,2006.2021857923498
2006-04-15,2006.0,4.0,15.0,-39.63448510550392,-2.6388738321884,2006-04-15,2006.2868852459017
2006-05-15,2006.0,5.0,15.0,-38.25333403385912,1.3811510716447994,2006-05-15,2006.3688524590164
2006-06-15,2006.0,6.0,15.0,-33.35903952889065,4.894294504968471,2006-06-15,2006.4535519125684
2006-07-15,2006.0,7.0,15.0,-49.25264526486722,-15.89360573597657,2006-07-15,2006.535519125683
2006-08-15,2006.0,8.0,15.0,-70.89520355576322,-21.642558290895998,2006-08-15,2006.620218579235
2006-09-15,2006.0,9.0,15.0,-86.57240457365732,-15.677201017894106,2006-09-15,2006.704918032787
2006-10-15,2006.0,10.0,15.0,-81.23967345133983,5.3327311223175045,2006-10-15,2006.7868852459017
2006-11-15,2006.0,11.0,15.0,-62.19050647002042,19.049166981319402,2006-11-15,2006.8715846994535
2006-12-15,2006.0,12.0,15.0,-79.49093239385053,-17.300425923830105,2006-12-15,2006.9535519125684
2007-01-15,2007.0,1.0,15.0,-73.23265076583654,6.2582816280139895,2007-01-15,2007.0409836065573
2007-02-15,2007.0,2.0,15.0,-75.57941457820783,-2.3467638123713,2007-02-15,2007.1256830601094
2007-03-15,2007.0,3.0,15.0,-82.59791083452903,-7.0184962563212,2007-03-15,2007.2021857923498
2007-04-15,2007.0,4.0,15.0,-57.65588795652063,24.9420228780084,2007-04-15,2007.2868852459017
2007-05-15,2007.0,5.0,15.0,-59.42786054028333,-1.7719725837627038,2007-05-15,2007.3688524590164
2007-06-15,2007.0,6.0,15.0,-61.88989723526533,-2.4620366949819967,2007-06-15,2007.4535519125684
2007-07-15,2007.0,7.0,15.0,-79.36521930988563,-17.4753220746203,2007-07-15,2007.535519125683
2007-08-15,2007.0,8.0,15.0,-150.99357547091194,-71.6283561610263,2007-08-15,2007.620218579235
2007-09-15,2007.0,9.0,15.0,-161.67021809301394,-10.676642622101994,2007-09-15,2007.704918032787
2007-10-15,2007.0,10.0,15.0,-161.61084130927594,0.059376783738002814,2007-10-15,2007.7868852459017
2007-11-15,2007.0,11.0,15.0,-139.42294893625996,22.187892373016,2007-11-15,2007.8715846994535
2007-12-15,2007.0,12.0,15.0,-128.08884622299297,11.334102713267,2007-12-15,2007.9535519125684
2008-01-15,2008.0,1.0,15.0,-114.08426222891697,14.004583994076,2008-01-15,2008.0409836065573
2008-02-15,2008.0,2.0,15.0,-127.92412099346896,-13.839858764551991,2008-02-15,2008.1256830601094
2008-03-15,2008.0,3.0,15.0,-107.24160274631197,20.68251824715699,2008-03-15,2008.204918032787
2008-04-15,2008.0,4.0,15.0,-108.74553632388016,-1.5039335775681906,2008-04-15,2008.2896174863388
2008-05-15,2008.0,5.0,15.0,-101.80224803592867,6.943288287951489,2008-05-15,2008.3715846994535
2008-06-15,2008.0,6.0,15.0,-116.57600212447817,-14.773754088549495,2008-06-15,2008.4562841530055
2008-07-15,2008.0,7.0,15.0,-169.03190218670994,-52.45590006223179,2008-07-15,2008.5382513661202
2008-08-15,2008.0,8.0,15.0,-192.46945294057994,-23.43755075387,2008-08-15,2008.622950819672
2008-09-15,2008.0,9.0,15.0,-193.09993608727095,-0.6304831466910059,2008-09-15,2008.707650273224
2008-10-15,2008.0,10.0,15.0,-184.91352431182895,8.186411775441996,2008-10-15,2008.7896174863388
2008-11-15,2008.0,11.0,15.0,-172.14076519858895,12.77275911324,2008-11-15,2008.8743169398906
2008-12-15,2008.0,12.0,15.0,-177.16669405467496,-5.025928856086011,2008-12-15,2008.9562841530055
2009-01-15,2009.0,1.0,15.0,-165.85801971106497,11.308674343609994,2009-01-15,2009.0409836065573
