time,year,month,day,mb,dmdt,time,jt
2004-08-15,2004.0,8.0,15.0,-28.318267954685627,-33.50159845827961,2004-08-15,2004.622950819672
2004-09-15,2004.0,9.0,15.0,-62.219965385624576,-33.901697430938945,2004-09-15,2004.707650273224
2004-10-15,2004.0,10.0,15.0,-50.17412492399167,12.045840461632904,2004-10-15,2004.7896174863388
2004-11-15,2004.0,11.0,15.0,-52.33913217002907,-2.165007246037401,2004-11-15,2004.8743169398906
2004-12-15,2004.0,12.0,15.0,-47.562398895581104,4.776733274447963,2004-12-15,2004.9562841530055
2005-01-15,2005.0,1.0,15.0,-32.67650945634964,14.885889439231462,2005-01-15,2005.0409836065573
2005-02-15,2005.0,2.0,15.0,-27.494260195474563,5.182249260875079,2005-02-15,2005.1256830601094
2005-03-15,2005.0,3.0,15.0,-31.985767777104865,-4.491507581630302,2005-03-15,2005.2021857923498
2005-04-15,2005.0,4.0,15.0,-29.845067263537064,2.140700513567801,2005-04-15,2005.2868852459017
2005-05-15,2005.0,5.0,15.0,-33.25630744645596,-3.411240182918899,2005-05-15,2005.3688524590164
2005-06-15,2005.0,6.0,15.0,-26.019667889763664,7.2366395566923,2005-06-15,2005.4535519125684
2005-07-15,2005.0,7.0,15.0,-34.80851710388336,-8.7888492141197,2005-07-15,2005.535519125683
2005-08-15,2005.0,8.0,15.0,-64.19928622027702,-29.39076911639366,2005-08-15,2005.620218579235
2005-09-15,2005.0,9.0,15.0,-101.58876483222686,-37.38947861194984,2005-09-15,2005.704918032787
2005-10-15,2005.0,10.0,15.0,-95.48588644353906,6.102878388687799,2005-10-15,2005.7868852459017
2005-11-15,2005.0,11.0,15.0,-90.19700467511896,5.288881768420097,2005-11-15,2005.8715846994535
2005-12-15,2005.0,12.0,15.0,-85.420271400671,4.776733274447963,2005-12-15,2005.9535519125684
2006-01-15,2006.0,1.0,15.0,-70.53438196143954,14.885889439231462,2006-01-15,2006.0409836065573
2006-02-15,2006.0,2.0,15.0,-54.10311343072203,16.431268530717503,2006-02-15,2006.1256830601094
2006-03-15,2006.0,3.0,15.0,-46.92541613003203,7.177697300690002,2006-03-15,2006.2021857923498
2006-04-15,2006.0,4.0,15.0,-44.05768286710094,2.8677332629310985,2006-04-15,2006.2868852459017
2006-05-15,2006.0,5.0,15.0,-46.69655669928934,-2.6388738321884,2006-05-15,2006.3688524590164
2006-06-15,2006.0,6.0,15.0,-45.31540562764454,1.3811510716447994,2006-06-15,2006.4535519125684
2006-07-15,2006.0,7.0,15.0,-40.421111122676066,4.894294504968471,2006-07-15,2006.535519125683
2006-08-15,2006.0,8.0,15.0,-56.31471685865264,-15.89360573597657,2006-08-15,2006.620218579235
2006-09-15,2006.0,9.0,15.0,-77.95727514954864,-21.642558290896,2006-09-15,2006.704918032787
2006-10-15,2006.0,10.0,15.0,-93.63447616744274,-15.677201017894108,2006-10-15,2006.7868852459017
2006-11-15,2006.0,11.0,15.0,-88.30174504512524,5.3327311223175045,2006-11-15,2006.8715846994535
2006-12-15,2006.0,12.0,15.0,-83.52501177067728,4.776733274447963,2006-12-15,2006.9535519125684
2007-01-15,2007.0,1.0,15.0,-68.63912233144582,14.885889439231462,2007-01-15,2007.0409836065573
2007-02-15,2007.0,2.0,15.0,-85.93954825527592,-17.300425923830105,2007-02-15,2007.1256830601094
2007-03-15,2007.0,3.0,15.0,-88.28631206764723,-2.3467638123713,2007-03-15,2007.2021857923498
2007-04-15,2007.0,4.0,15.0,-95.30480832396843,-7.0184962563212,2007-04-15,2007.2868852459017
2007-05-15,2007.0,5.0,15.0,-70.36278544596003,24.9420228780084,2007-05-15,2007.3688524590164
2007-06-15,2007.0,6.0,15.0,-72.13475802972273,-1.7719725837627038,2007-06-15,2007.4535519125684
2007-07-15,2007.0,7.0,15.0,-74.59679472470472,-2.4620366949819967,2007-07-15,2007.535519125683
2007-08-15,2007.0,8.0,15.0,-92.07211679932502,-17.4753220746203,2007-08-15,2007.620218579235
2007-09-15,2007.0,9.0,15.0,-163.7004729603513,-71.6283561610263,2007-09-15,2007.704918032787
2007-10-15,2007.0,10.0,15.0,-174.3771155824533,-10.676642622101994,2007-10-15,2007.7868852459017
2007-11-15,2007.0,11.0,15.0,-174.3177387987153,0.0593767837380028,2007-11-15,2007.8715846994535
2007-12-15,2007.0,12.0,15.0,-169.54100552426735,4.776733274447963,2007-12-15,2007.9535519125684
2008-01-15,2008.0,1.0,15.0,-154.6551160850359,14.885889439231462,2008-01-15,2008.0409836065573
2008-02-15,2008.0,2.0,15.0,-143.3210133717689,11.334102713267,2008-02-15,2008.1256830601094
2008-03-15,2008.0,3.0,15.0,-157.1608721363209,-13.839858764551993,2008-03-15,2008.204918032787
2008-04-15,2008.0,4.0,15.0,-136.4783538891639,20.68251824715699,2008-04-15,2008.2896174863388
2008-05-15,2008.0,5.0,15.0,-137.9822874667321,-1.5039335775681906,2008-05-15,2008.3715846994535
2008-06-15,2008.0,6.0,15.0,-131.0389991787806,6.943288287951489,2008-06-15,2008.4562841530055
2008-07-15,2008.0,7.0,15.0,-145.8127532673301,-14.773754088549495,2008-07-15,2008.5382513661202
2008-08-15,2008.0,8.0,15.0,-179.3143517256097,-33.50159845827961,2008-08-15,2008.622950819672
2008-09-15,2008.0,9.0,15.0,-213.21604915654865,-33.901697430938945,2008-09-15,2008.707650273224
2008-10-15,2008.0,10.0,15.0,-213.84653230323966,-0.6304831466910059,2008-10-15,2008.7896174863388
2008-11-15,2008.0,11.0,15.0,-205.66012052779766,8.186411775441996,2008-11-15,2008.8743169398906
2008-12-15,2008.0,12.0,15.0,-200.8833872533497,4.776733274447963,2008-12-15,2008.9562841530055
2009-01-15,2009.0,1.0,15.0,-185.99749781411822,14.885889439231462,2009-01-15,2009.0409836065573
2009-02-15,2009.0,2.0,15.0,-191.02342667020423,-5.025928856086011,2009-02-15,2009.1256830601094
2009-03-15,2009.0,3.0,15.0,-185.70944430775822,5.313982362446012,2009-03-15,2009.2021857923498
2009-04-15,2009.0,4.0,15.0,-195.2635161267442,-9.554071818985989,2009-04-15,2009.2868852459017
2009-05-15,2009.0,5.0,15.0,-187.96904629158522,7.294469835158991,2009-05-15,2009.3688524590164
2009-06-15,2009.0,6.0,15.0,-190.38869325336822,-2.419646961783002,2009-06-15,2009.4535519125684
